
bitcoin,16,1.454545497894287,5,4/6/2021,14/6/2021
bitcoin,16,1.454545497894287,5,4/6/2021,14/6/2021
Covid,38,3.454545497894287,29,4/6/2021,14/6/2021
bitcoin,16,1.454545497894287,5,4/6/2021,14/6/2021
Covid,38,3.454545497894287,29,4/6/2021,14/6/2021
bitcoin,16,1.454545497894287,5,4/6/2021,14/6/2021
bitcoin,16,1.454545497894287,5,4/6/2021,14/6/2021
Covid,38,3.454545497894287,29,4/6/2021,14/6/2021
is,201,18.272727966308594,39,4/6/2021,14/6/2021
covid,0,0.0,0,4/6/2021,14/6/2021
bitcoin,16,1.454545497894287,5,4/6/2021,14/6/2021
Covid,38,3.454545497894287,29,4/6/2021,14/6/2021
Bitcoin,8,0.7272727489471436,4,4/6/2021,14/6/2021
bitcoin,16,1.454545497894287,5,4/6/2021,14/6/2021
bitcoin,16,1.454545497894287,5,4/6/2021,14/6/2021
bitcoin,16,1.454545497894287,5,4/6/2021,14/6/2021
Bitcoin,8,0.7272727489471436,4,4/6/2021,14/6/2021
Covid,38,3.454545497894287,29,4/6/2021,14/6/2021
We,2,0.1818181872367859,1,4/6/2021,14/6/2021
we,36,3.2727272510528564,13,4/6/2021,14/6/2021
Covid,0,0.0,0,4/6/2021,14/6/2021it
Covid,0,0.0,0,4/6/2021,14/6/2021
Covid,0,0.0,0,4/6/2021,14/6/2021
Covid,0,0.0,0,4/6/2021,14/6/2021
Covid,0,0.0,0,4/6/2021,14/6/2021
Covid,0,0.0,0,4/6/2021,14/6/2021
Bitcoin,0,0.0,0,4/6/2021,14/6/2021
Bitcoin,8,0.7272727489471436,4,4/6/2021,14/6/2021
Covid,38,3.454545497894287,29,4/6/2021,14/6/2021
Bitcoin,8,0.7272727489471436,4,4/6/2021,14/6/2021
